Product_name,Product_id,Product_Category,price,Professional_Publication,Region_address,Local_address
"""chambre a coucher ""","""40008817""","""Meubles et décoration """,1800,"""private""","""Grand Casablanca""","""Casablanca"""
"""Comte free fire""","""40008816""","""Jeux vidéo et consoles """,0,"""private""","""Grand Casablanca""","""Casablanca"""
"""Iphone 6 plus""","""40008815""","""Téléphones """,0,"""private""","""Grand Casablanca""","""Casablanca"""
"""Renault ""","""40008814""","""Voitures """,0,"""private""","""Chaouia-Ouardigha""","""Settat"""
"""PS3 SLIM 360 GB ""","""40008812""","""Jeux vidéo et consoles """,1400,"""private""","""Rabat-Salé-Zemmour-Zaër""","""Sala Al-Jadida"""
"""Need For Speed Heat Xbox One Neuf""","""39955729""","""Jeux vidéo et consoles """,549,"""pro""","""Grand Casablanca""","""Casablanca"""
"""becane""","""40008811""","""Motos """,0,"""private""","""Fès-Boulemane""","""Fès"""
"""Nikel""","""40008809""","""Voitures """,75000,"""private""","""Gharb-Chrarda-Beni Hssen""","""Kénitra"""
"""compte free fire""","""40008808""","""Jeux vidéo et consoles """,170,"""private""","""Grand Casablanca""","""Casablanca"""
"""Appartement""","""40008807""","""Appartements """,0,"""private""","""Grand Casablanca""","""Casablanca"""
"""Pc Hp core i7 Double Disque Dur ""","""40008806""","""Ordinateurs portables """,5700,"""private""","""Tanger-Tétouan""","""Tanger"""
"""Chiots chihuahua croisé""","""39955767""","""Animaux """,1300,"""private""","""Souss-Massa-Drâa""","""Agadir"""
"""grima ""","""40008804""","""Business et affaires commerciales """,0,"""private""","""Chaouia-Ouardigha""","""Settat"""
"""Chaise Gamer Raidmax DK922 RGB""","""36694098""","""Matériels professionnels """,3390,"""pro""","""Grand Casablanca""","""Casablanca"""
"""IPhone 6s Plus 128g gold""","""40008803""","""Téléphones """,0,"""private""","""Chaouia-Ouardigha""","""Berrechid"""
"""Samsung 30s""","""40008802""","""Téléphones """,2000,"""private""","""Marrakech-Tensift-Al Haouz""","""Marrakech"""
"""HP 14 Celeron 2018""","""40008801""","""Ordinateurs portables """,1800,"""pro""","""Tanger-Tétouan""","""Tanger"""
"""ancien monnaies en argent ""","""40008799""","""Art et collections """,1500,"""private""","""Taza-Al Hoceima-Taounate""","""Al Hoceima"""
"""Husky""","""40008798""","""Animaux """,0,"""private""","""Rabat-Salé-Zemmour-Zaër""","""Temara"""
"""michael kors original""","""40008797""","""Montres et bijoux """,1500,"""private""","""Grand Casablanca""","""Casablanca"""
"""Appartement lumineux avec vue panoramique de 137m""","""39579635""","""Appartements """,1200000,"""private""","""Grand Casablanca""","""Casablanca"""
"""Huawei p10 lite ""","""39972796""","""Téléphones """,1100,"""pro""","""Souss-Massa-Drâa""","""Agadir"""
"""Appartement 75 m2 à Mohammedia""","""37535821""","""Appartements """,690000,"""private""","""Grand Casablanca""","""Mohammedia"""
"""Appartement 83 m2 à Mohammedia""","""37535652""","""Appartements """,650000,"""private""","""Grand Casablanca""","""Mohammedia"""
